medallion,hack_license,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,trip_time_in_secs,trip_distance
2010000183,2010000183,CMT,1/1/2010 0:02,1/1/2010 0:10,2,8.03,1.5
2010000184,2010000184,DDS,1/1/2010 0:02,1/1/2010 0:09,1,7.55,0.1
2010000185,2010000185,CMT,1/1/2010 0:02,1/1/2010 0:10,1,8.48,1.1
2010000186,2010000186,CMT,1/1/2010 0:02,1/1/2010 0:22,1,20.65,15.4
2010000187,2010000187,CMT,1/1/2010 0:02,1/1/2010 0:04,1,2.7,0.5
2010000188,2010000188,CMT,1/1/2010 0:02,1/1/2010 0:14,1,11.83,6.7
2010000189,2010000189,CMT,1/1/2010 0:02,1/1/2010 0:13,1,11.32,3.9
2010000190,2010000190,CMT,1/1/2010 0:02,1/1/2010 0:05,1,3.75,0.7
2010000191,2010000191,DDS,1/1/2010 0:02,1/1/2010 0:13,1,11.68,2.4
2010000192,2010000192,CMT,1/1/2010 0:02,1/1/2010 0:06,2,3.78,0.6
2010000193,2010000193,CMT,1/1/2010 0:02,1/1/2010 0:11,2,9.48,1.9
2010000194,2010000194,CMT,1/1/2010 0:02,1/1/2010 0:14,1,12.25,1.2
2010000195,2010000195,CMT,1/1/2010 0:02,1/1/2010 0:12,1,10.25,2.2
2010000196,2010000196,CMT,1/1/2010 0:02,1/1/2010 0:36,3,33.73,12.5
2010000197,2010000197,CMT,1/1/2010 0:02,1/1/2010 0:15,1,12.92,1.1
2010000198,2010000198,CMT,1/1/2010 0:02,1/1/2010 0:08,1,6.6,1.6
2010000199,2010000199,CMT,1/1/2010 0:02,1/1/2010 0:10,1,8.32,1
2010000200,2010000200,CMT,1/1/2010 0:02,1/1/2010 0:20,1,17.78,4
2010000201,2010000201,CMT,1/1/2010 0:02,1/1/2010 0:14,3,12.55,2.1
2010000202,2010000202,CMT,1/1/2010 0:02,1/1/2010 0:11,1,9.25,1.7
2010000203,2010000203,DDS,1/1/2010 0:02,1/1/2010 0:08,1,6.38,0.7
2010000204,2010000204,CMT,1/1/2010 0:02,1/1/2010 0:03,1,1.13,0
2010000205,2010000205,CMT,1/1/2010 0:02,1/1/2010 0:10,2,7.83,1.8
2010000132,2010000132,CMT,1/1/2010 0:02,1/1/2010 0:08,1,5.82,1.3
2010000206,2010000206,DDS,1/1/2010 0:02,1/1/2010 0:44,1,41.81,1.8
2010000207,2010000207,CMT,1/1/2010 0:02,1/1/2010 0:05,2,2.7,0.5
2010000208,2010000208,CMT,1/1/2010 0:02,1/1/2010 0:12,1,10.22,0.4
2010000209,2010000209,CMT,1/1/2010 0:02,1/1/2010 0:12,1,9.68,4.1
2010000210,2010000210,CMT,1/1/2010 0:02,1/1/2010 0:07,4,4.68,0.8
2010000211,2010000211,CMT,1/1/2010 0:02,1/1/2010 0:09,2,7.18,1.2
2010000212,2010000212,CMT,1/1/2010 0:02,1/1/2010 0:09,1,7.12,1.8
2010000213,2010000213,CMT,1/1/2010 0:02,1/1/2010 0:15,1,12.92,2.2
2010000214,2010000214,CMT,1/1/2010 0:02,1/1/2010 0:12,1,10.4,2
2010000215,2010000215,DDS,1/1/2010 0:02,1/1/2010 0:07,2,4.63,0.6
2010000216,2010000216,CMT,1/1/2010 0:02,1/1/2010 0:23,1,21.07,3.6
2010000217,2010000217,CMT,1/1/2010 0:02,1/1/2010 0:25,2,23.23,12.7
2010000218,2010000218,CMT,1/1/2010 0:02,1/1/2010 0:08,1,6.18,1.6
2010000219,2010000219,CMT,1/1/2010 0:02,1/1/2010 0:05,1,2.58,0.3
2010000220,2010000220,CMT,1/1/2010 0:02,1/1/2010 0:16,1,14.37,7.3
2010000221,2010000221,CMT,1/1/2010 0:02,1/1/2010 0:30,1,27.75,2.7
2010000222,2010000222,CMT,1/1/2010 0:02,1/1/2010 0:12,1,9.53,2.6
2010000223,2010000223,CMT,1/1/2010 0:02,1/1/2010 0:18,1,16.22,2.6
2010000224,2010000224,VTS,1/1/2010 0:02,1/1/2010 0:02,5,0,0.5
2010000225,2010000225,CMT,1/1/2010 0:02,1/1/2010 0:07,3,4.73,0.9
2010000226,2010000226,CMT,1/1/2010 0:02,1/1/2010 0:03,1,0.33,0
2010000227,2010000227,CMT,1/1/2010 0:02,1/1/2010 0:04,1,1.72,0.2
2010000228,2010000228,CMT,1/1/2010 0:02,1/1/2010 0:33,1,30.6,2
2010000229,2010000229,CMT,1/1/2010 0:02,1/1/2010 0:10,1,7.95,0.8
2010000230,2010000230,CMT,1/1/2010 0:02,1/1/2010 0:08,2,5.93,1.9
2010000231,2010000231,CMT,1/1/2010 0:02,1/1/2010 0:06,2,4.12,0.6
2010000232,2010000232,CMT,1/1/2010 0:02,1/1/2010 0:12,1,10.13,1.5
2010000233,2010000233,CMT,1/1/2010 0:02,1/1/2010 0:04,1,2.07,0.6
2010000234,2010000234,CMT,1/1/2010 0:02,1/1/2010 0:05,1,3.08,0.3
2010000235,2010000235,CMT,1/1/2010 0:02,1/1/2010 0:11,1,9.08,2
2010000236,2010000236,CMT,1/1/2010 0:02,1/1/2010 0:10,3,7.5,1.8
